País,Año,N° de ley,Tipo,Extracto,Link,Fecha de sanción,¿Modifica otra ley?,¿Cuál?,¿Sigue vigente?,Fecha de derogación o modificación,¿Criminaliza la expresión?,¿Elimina criminalización?,¿Impone una sanción civil?,¿Elimina una sanción civil?,¿Impone barreras adicionales para la expresión?,¿Regula contenido en Internet?,¿Distingue la expresión online de la offline?,¿Regula intermediarios en Internet?,¿Apoyo de la sociedad civil?,¿Limita o promueve el discurso?,Objetivo legítimo,Legalidad,Necesidad,Proporcionalidad,¿Cumple con todos los elementos del test?,Objetivo legítimo (2),Objetivo legítimo (3),Análisis del test tripartito
Chile,2010,Ley Nº20.453,Mensaje,"Esta ley consagra el prinicipio Neutralidad en la Red, señalando que las concesionarias de servicio público de telecomunicaciones que presten servicio a los proveedores de acceso a Internet, no podrán arbitrariamente bloquear, interferir, discriminar, entorpecer ni restringir el derecho de cualquier usuario de Internet para utilizar, enviar, recibir u ofrecer cualquier contenido, aplicación o servicio legal a través de Internet, así como cualquier otro tipo de actividad o uso legal realizado a través de la red.",https://www.leychile.cl/Navegar?idNorma=1016570&buscar=Ley+Neutralidad+en+la+Red,2010-08-18,NO,,SI,2010-08-27,NO,NO,SI,NO,NO,SI,NO,SI,SI,Promueve,Acceso a internet e Infraestructura,SI,SI,SI,SI,Neutralidad de la Red,,"Es importante consignar que si bien esta ley ha sido elogiada por consagrar el principio de Neutraliad en la Red, no lo desarrolla o actualiza en relación esta Ley ha sido cuestionada en la medida que por ejemplo en el mercado chileno, las empresas de telecomunicaciones que son intermediarias de acceso a internet ofecen a sus clientes paquetes ""zero rating"" por el uso de ciertos servicios de redes sociales, en relación al resto de uso de los planes de navegación."
Colombia,2010,1381,Ley ordinaria,"DICTA NORMAS SOBRE EL RECONOCIMIENTO, FOMENTO, PROTECCIÓN, USO, PRESERVACIÓN Y FORTALECIMIENTO DE LAS LENGUAS DE LOS GRUPOS ÉTNICOS DE COLOMBIA. LA LEY ESTABLECE VARIAS DISPOSICIONES ORIENTADAS A: PERMITIR EL ACCESO EN SUS PROPIAS LENGUAS A LEYES, REGLAMENTOSS Y CONTENIDOS DE PROGRAMAS, OBRAS Y SERVICIOS DIRIGIDOS A LOS GRUPOS ÉTNICOS; IMPULSAR LA PRODUCCIÓN Y EMISIÓN DE PROGRAMAS EN LENGUAS NATIVAS EN LOS DISTINTOS MEDIOS DE INFORMACIÓN Y COMUNICACIÓN E IMPULSAR LA PRODUCCIÓN Y USO DE MATERIALES ESCRITOS EN LAS LENGUAS NATIVAS.",http://www.secretariasenado.gov.co/senado/basedoc/ley_1381_2010.html,2010-01-25,NO,,SI,,NO,NO,NO,NO,NO,SI,NO,NO,,Promueve,Libertad de Expresión y Derechos políticos,,,,,Libertad de expresión,,
Colombia,2010,1403,Ley ordinaria,"MODIFICA LA LEY DE DERECHOS DE AUTOR Y ESTABLECE UNA REMUNERACIÓN POR COMUNICACIÓN PÚBLICA A LOS ARTISTAS, INTÉRPRETES O EJECUTANTES DE OBRAS Y GRABACIONES AUDIOVISUALES. LA LEY ESTABLECE QUE NO SE CONSIDERARÁ COMO COMUNICACIÓN PÚBLICA LA COMUNICACIÓN QUE SE HAGA CON FINES EDUCATIVOS, DENTRO DE LOS INSTITUTOS DE EDUCACIÓN O LA QUE SE HAGA EN ESTABLECIMIENTOS ABIERTOS AL PÚBLICO PARA EL ENTRETENIMIENTO DE SUS TRABAJADORES.",http://www.secretariasenado.gov.co/senado/basedoc/ley_1403_2010.html,2010-07-19,SI,LEY 23 DE 1982,SI,,NO,NO,NO,NO,NO,NO,NO,NO,,Promueve,Propiedad Intelectual,,,,,Derechos de autor,,
Colombia,2010,1407,Ley ordinaria,"EXPIDE EL CÓDIGO PENAL MILITAR. LOS ARTÍCULOS 121 Y 122 ESTABLECEN LOS DELITOS DE INJURIA Y CALUMNIA. EL ARTÍCULO 125 CONTEMPLA UN EXIMENTE DE PUNIBILIDAD EN LOS CASOS EN LOS QUE SE PRUEBE QUE LO AFIRMADO ES CIERTO, SIN EMBARGO, NO SERÁ ADMITIDA LA PRUEBA DE LA VERDAD SI SE HA IMPUTADO UN DELITO Y EXISTE SENTENCIA ABSOLUTORIA O CESACIÓN DE PROCEDIMIENTO.",http://www.secretariasenado.gov.co/senado/basedoc/ley_1407_2010.html#1,2010-08-17,SI,LEY 522 DE 1999,SI,,SI,NO,NO,NO,NO,NO,NO,NO,,Limita,Honor y reputación,SI,NO,NO,NO,,,"SI BIEN ES NECESARIA LA PROTECCIÓN DE LA REPUTACIÓN Y EL HONOR, LA IMPOSICIÓN DE SANCIONES PENALES NO ES UNA SOLUCIÓN PROPORCIONADA. EXISTEN MEDIOS MENOS COSTOSOS PARA LOGRAR LA PROTECCIÓN DE LA REPUTACIÓN. EN COLOMBIA EXISTE LA POSIBILIDAD DE LA RECTIFICACIÓN (DERECHO PROTEGIDO CONSTITUCIONALMENTE EN EL MISMO ARTÍCULO QUE PROTEGE LA LIBERTAD DE EXPRESIÓN), DE LA ACCIÓN DE TUTELA E, INCLUSO, DE LAS ACCIONES CIVILES. SIENDO EL DERECHO PENAL EL DERECHO DE ÚLTIMA INSTANCIA (ULTIMA RATIO), SU APLICACIÓN EN ESTOS CASOS, EXISTIENDO ALTERNATIVAS PARA LA PROTECCIÓN DEL HONOR, RESULTA DESPROPORCIONADA. EN EL CASO DE ESTA DISPOSICIÓN, ADEMÁS, SE ESTARÍA HABLANDO DE EXPRESIONES RELACIONADAS CON FUNCIONARIOS Y ASUNTOS DE INTERÉS PÚBLICOS (FUERZAS MILITARES), CON LO CUAL LA PROTECCIÓN A LA LIBERTAD DE EXPRESIÓN ES REFORZADA. FINALMENTE, TAMBIÉN ES DESPROPORCIONADO INAPLICAR EL EXIMENTE DE RESPONSABILIDAD EN CASOS EN LOS QUE EXISTE SENTENCIA ABSOLUTORIA O CESACIÓN DE PROCEDIMIENTO CUANDO SE PUEDE PROBAR QUE LO DICHO ES CIERTO. LA CORTE CONSTITUCIONAL ESTUDIÓ UNA DISPOSICIÓN SIMILAR EN EL CÓDIGO PENAL Y LA DECLARÓ INCONSTITUCIONAL (SENTENCIA C-417 DE 2009)."
Colombia,2010,1407,Ley ordinaria,EXPIDE EL CÓDIGO PENAL MILITAR. LOS ARTÍCULOS 130 Y 131 ESTABLECEN LOS DELITOS DE REVELACIÓN DOLOSA Y CULPOSA DE SECRETOS.,http://www.secretariasenado.gov.co/senado/basedoc/ley_1407_2010.html#1,2010-08-17,SI,LEY 522 DE 1999,SI,,SI,NO,NO,NO,NO,NO,NO,NO,,Limita,Seguridad Nacional,SI,SI,SI,SI,,,"ES IMPORTANTE SEÑALAR QUE, SI BIEN LA NORMA CUMPLE CON LOS REQUISITOS DEL TEST, SU APLICACIÓN PODRÍA SER ILEGÍTIMA EN LOS CASOS EN LOS QUE SE REVELA INFORMACIÓN RESERVADA O CLASIFICADA CUANDO TAL REVELACIÓN ESTÁ JUSTIFICADA DE ACUERDO CON LOS PRINCIPIOS DE UNA SOCIEDAD DEMOCRÁTICA, COMO EN CASOS DE WHISTLEBLOWERS."
Colombia,2010,1407,Ley ordinaria,EXPIDE EL CÓDIGO PENAL MILITAR. LOS ARTÍCULOS 129 Y 136 ESTABLECEN LOS DELITOS DE FALSA ALARMA Y GENERACIÓN DE PÁNICO.,http://www.secretariasenado.gov.co/senado/basedoc/ley_1407_2010.html#1,2010-08-18,SI,LEY 522 DE 2000,SI,,SI,NO,NO,NO,NO,NO,NO,NO,,Limita,Seguridad Nacional,SI,SI,SI,SI,,,
Colombia,2010,1407,Ley ordinaria,"EXPIDE EL CÓDIGO PENAL MILITAR. EL ARTÍCULO 313 ESTABLECE RESTRICCIONES A LA PUBLICIDAD DEL PROCESO PENAL MILITAR POR MOTIVOS DE ORDEN PÚBLICO, SEGURIDAD NACIONAL O MORAL PÚBLICA. EL JUEZ PODRÁ LIMITAR EL ACCESO DE LA PRENSA Y PODRÁ IMPONER A LOS PRESENTES EL DEBER DE GUARDAR RESERVA SOBRE LO QUE VEN Y OYEN.",http://www.secretariasenado.gov.co/senado/basedoc/ley_1407_2010.html#1,2010-08-18,SI,LEY 522 DE 2000,SI,,NO,NO,NO,NO,SI,NO,NO,NO,,Limita,Moral Pública,SI,SI,SI,SI,Seguridad nacional,Acceso a la información,
Colombia,2010,1407,Ley ordinaria,EXPIDE EL CÓDIGO PENAL MILITAR. EL ARTÍCULO 315 ESTABLECE RESTRICCIONES A LA PUBLICIDAD POR MOTIVOS DE INTERÉS DE LA JUSTICIA. EL JUEZ DEL PROCESO PENAL MILITAR PUEDE IMPONER A LOS PRESENTES EL DEBER DE GUARDAR RESERVA SOBRE LO QUE VEN Y OYEN Y LIMITAR EL ACCESO DE LA PRENSA.,http://www.secretariasenado.gov.co/senado/basedoc/ley_1407_2010.html#1,2010-08-18,SI,LEY 522 DE 2000,SI,,NO,NO,NO,NO,SI,NO,NO,NO,,Limita,Gobierno Digital,SI,SI,SI,SI,Administración de Justicia,,
Colombia,2010,1407,Ley ordinaria,EXPIDE EL CÓDIGO PENAL MILITAR. EL ARTÍCULO 318 ESTABLECE QUE EN EL PROCESO PENAL MILITAR SERÁN DE CARÁCTER RESERVADO DE ALGUNAS AUDIENCIAS.,http://www.secretariasenado.gov.co/senado/basedoc/ley_1407_2010.html#1,2010-08-18,SI,LEY 522 DE 2000,SI,,NO,NO,NO,NO,SI,NO,NO,NO,,Limita,Gobierno Digital,SI,SI,SI,SI,Administración de Justicia,,
Colombia,2010,1426,Ley ordinaria,MODIFICA EL CÓDIGO PENAL EN RELACIÓN CON LOS DELITOS CONTRA PERIODISTAS Y DEFENSORES DE DERECHOS HUMANOS. AMPLÍA LOS TÉRMINOS DE PRESCRIPCIÓN Y ESTABLECE AGRAVANTES PARA VARIOS DELITOS CONTRA PERIODISTAS.,http://www.secretariasenado.gov.co/senado/basedoc/ley_1426_2010.html,2010-12-29,SI,LEY 599 DE 2000,SI,,NO,NO,NO,NO,NO,NO,NO,NO,,Promueve,Libertad de Expresión y Derechos políticos,,,,,Libertad de expresión,,
Paraguay,2010,4024,Ley ordinaria,"ESTABLECE HECHOS PUNIBLES DE TERRORISMO, ASOCIACIÓN TERRORISTA Y FINANCIAMIENTO DEL TERRORISMO",http://www.bacn.gov.py/leyes-paraguayas/3557/ley-n-4024-castiga-los-hechos-punibles-de-terrorismo-asociacion-terrorista-y-financiamiento-del-terrorismo,2010-10-06,SI,1160 / 97 Y 3440 / 08.,SI,,SI,NO,NO,NO,SI,NO,NO,NO,NO,Limita,Seguridad Nacional,SI,SI,NO,NO,,,"NO CONTÓ CON APOYO DE LA SOCIEDAD CIVIL, FUE MUY CUESTIONADA POR LAS ORGANIZACIONES DE DDHH POR TEMOR A QUE SE CONVIERTA EN UNA HERRAMIENTA DE PERSECUCIÓN."
Paraguay,2010,4251,Ley ordinaria,ESTABLECE LAS MODALIDADES DE UTILIZACIÓN Y MEDIDAS ADECUADAS PARA EL DESARROLLO Y LA PROMOCIÓN DE LAS DOS LENGUAS OFICIALES DEL PARAGUAY.,http://www.bacn.gov.py/leyes-paraguayas/2895/ley-n-4251--de-lenguas,2010-12-09,NO,,SI,,NO,NO,NO,NO,NO,NO,NO,NO,,Promueve,Libertad de Expresión y Derechos políticos,SI,SI,SI,SI,Libertad de expresión,Promoción de la cultura,
Perú,2010,Ley No. 29452,,"Protege al denunciante en el ámbito administrativo y al colaborador eficaz en el ámbito penal, estableciendo la confidencialidad de su identidad y la información proporcionada, aSI como atribuyendo responsabilidad a los funcionarios que manejan la información aportada por el denunciante.",http://spij.minjus.gob.pe/CLP/contenidos.dll/CLPlegcargen/coleccion00000.htm/tomo00433.htm/a%C3%B1o317917.htm/mes327189.htm/dia328407.htm/sector328408.htm/sumilla328409.htm,2010-06-22,SI,,SI,20/08/2013 16/01/2017,NO,NO,NO,NO,NO,NO,NO,NO,,Limita,Gobierno Digital,SI,SI,SI,SI,Administración de justicia,,
Argentina,2009,26551,,"Sustitúyense los artículos 109, 110, 111, 113 y 117 y derógase el artículo 112 del Código Penal argentino.",http://servicios.infoleg.gob.ar/infolegInternet/anexos/160000-164999/160774/norma.htm,2009-11-18,SI,,SI,,NO,SI,SI,NO,SI,NO,NO,NO,SI,Limita,Honor y reputación,NO,SI,SI,NO,,,
Argentina,2009,26570,,Modificación de la Ley de Propiedad intelectual Modifícase el artículo 5° bis.,http://servicios.infoleg.gob.ar/infolegInternet/anexos/160000-164999/161455/norma.htm,2009-11-25,SI,,SI,,NO,NO,NO,NO,SI,NO,NO,NO,NO,Limita,Propiedad Intelectual,SI,SI,SI,SI,Derechos de autor,,
Argentina,2009,26571,,"Ley de democratización de la representación política, la transparencia y la equidad electoral (Artículos 31, 35, 43 bis, 43 ter, 43 quáter, 43 quinquies, 43 sexies, 43 septies, 43 octies, 43 nonies, 44 ter y 44 quáter).",http://servicios.infoleg.gob.ar/infolegInternet/anexos/160000-164999/161453/texact.htm,2009-12-11,NO,,SI,,NO,NO,NO,NO,NO,NO,NO,NO,,Limita,Libertad de Expresión y Derechos políticos,SI,SI,SI,SI,Libertad electoral,,
Chile,2009,Ley Nº 20.357,Moción parlamentaria,"Ley que define, tipifica y sanciona crímenes de lesa humanidad y genocidio, y crímenes y delitos de guerra",https://www.leychile.cl/Navegar?idNorma=1004297,2009-06-26,NO,"Código Justicia Militar, Ley Nº20.968",SI,,,,,,,,,,SI,Limita,Seguridad Nacional,SI,SI,SI,SI,,,
Colombia,2009,1273,Ley ordinaria,"MODIFICA EL CÓDIGO PENAL Y CREA UN NUEVO BIEN JURÍDICO TUTELADO DENOMINADO ""DE LA PROTECCIÓN DE LA INFORMACIÓN Y DE LOS DATOS"". LA LEY CREA EL CIBERDELITO DE OBSTACULIZACIÓN DE SISTEMA DE TELECOMUNICACIONES.",http://www.secretariasenado.gov.co/senado/basedoc/ley_1273_2009.html,2009-01-05,SI,LEY 599 DE 2000,SI,,NO,NO,NO,NO,NO,SI,SI,NO,,Promueve,Privacidad y Derechos ARCO,,,,,Datos personales,,
Colombia,2009,1273,Ley ordinaria,"MODIFICA EL CÓDIGO PENAL Y CREA UN NUEVO BIEN JURÍDICO TUTELADO DENOMINADO ""DE LA PROTECCIÓN DE LA INFORMACIÓN Y DE LOS DATOS"". LA LEY CREA EL CIBERDELITO DE VIOLACIÓN DE DATOS PERSONALES.",http://www.secretariasenado.gov.co/senado/basedoc/ley_1273_2009.html,2009-01-05,SI,LEY 599 DE 2000,SI,,SI,NO,NO,NO,NO,SI,NO,NO,,Limita,Privacidad y Derechos ARCO,NO,SI,NO,NO,Datos personales,,"EL PROBLEMA DE LA PUBLICACIÓN NO AUTORIZADA DE DATOS PERSONALES ES UN ASUNTO QUE EL ESTADO DEBE ATENDER. DE ACUERDO CON EL ARTÍCULO, SE CASTIGARÁ A QUIEN OBTENGA, ENVÍE O DIVULGUE DATOS PERSONALES CONTENIDOS EN FIHCEROS, ARCHIVOS Y BASES DE DATOS O MEDIOS SEMEJANTES ""SIN ESTAR FACULTADO PARA ELLO"". LA REDACCIÓN DEL ARTÍCULO ES TAN AMPLIA QUE PODRÍA LLEVAR AL CASTIGO DE EXPRESIONES LEGÍTIMAS EN LAS QUE SE USAN DATOS PERSONALES."
Colombia,2009,1288,Ley ordinaria,"REGULA LAS ACTIVIDADES DE INTELIGENCIA Y CONTRAINTELIGENCIA. LA LEY ESTABLECE LA RESERVA DE LOS DOCUMENTOS, INFORMACIÓN Y ELEMENTOS TÉCNICOS DE INTELIGENCIA Y CONTRAINTELIGENCIA.",http://www.secretariasenado.gov.co/senado/basedoc/ley_1288_2009.html,2009-03-05,SI,LEY 599 DE 2000,NO,16/11/10,NO,NO,NO,NO,SI,NO,NO,NO,,Limita,Seguridad Nacional,SI,SI,SI,SI,,,
Colombia,2009,1288,Ley ordinaria,REGULA LAS ACTIVIDADES DE INTELIGENCIA Y CONTRAINTELIGENCIA. EL ARTÍCULO 23 ESTABLECE LA EXCEPCIÓN AL DEBER DE RESERVA EN LOS CASOS EN LOS QUE SE HAGAN DENUNCIAS RELACIONADAS CON LA PRESUNTA COMISIÓN DE UN DELITO DE LESA HUMANIDAD POR PARTE DE UN SERVIDOR PÚBLICO QUE REALICE ACTIVIDADES DE INTELIGENCIA Y CONTRAINTELIGENCIA.,http://www.secretariasenado.gov.co/senado/basedoc/ley_1288_2009.html,2009-03-05,SI,LEY 599 DE 2000,NO,16/11/10,NO,SI,NO,NO,NO,NO,NO,NO,,Promueve,Acceso a la información,,,,,,,"PROMUEVE LA LIBERTAD DE EXPRESIÓN, PERO LA EXCEPCIÓN DEBERÍA SER MÁS AMPLIA PARA REFERIRSE NO SÓLO A LOS DELITOS DE LESA HUMANIDAD DE LOS SERVIDORES DE INTELIGENCIA Y CONTRAINTELIGENCIA."
Colombia,2009,1288,Ley ordinaria,REGULA LAS ACTIVIDADES DE INTELIGENCIA Y CONTRAINTELIGENCIA. EL ARTÍCULO PARÁGRAFO 1 DEL ARTÍCULO 25 CREA EL DELITO DE REVELACIÓN CULPOSA DE SECRETOS.,http://www.secretariasenado.gov.co/senado/basedoc/ley_1288_2009.html,2009-03-05,SI,LEY 599 DE 2000,NO,16/11/10,SI,NO,NO,NO,NO,NO,NO,NO,,Limita,Seguridad Nacional,SI,SI,SI,SI,,,
Colombia,2009,1316,Ley ordinaria,RECONOCE UN ESPACIO FÍSICO EN LOS ESPECTÁCULOS PARA PERSONAS CON DISCAPACIDAD.,http://www.secretariasenado.gov.co/senado/basedoc/ley_1316_2009.html,2009-07-13,SI,LEY 361 DE 1997,SI,,NO,NO,NO,NO,NO,NO,NO,NO,,Promueve,"Discriminación, violencia y discursos de odio",,,,,Igualdad y no discriminación,,
Colombia,2009,1329,Ley ordinaria,"MODIFICA EL CÓDIGO PENAL Y DICTA NORMAS PARA CONTRARRESTAR LA EXPLOTACIÓN SEXUAL DE MENORES. EL ARTÍCULO 4 MODIFICA EL DELITO DE UTILIZACIÓN Y FACILITACIONES DE MEDIOS DE COMUNICACIÓN PARA OFRECER ACTIVIDADES SEXUALES CON MENORES, PROHIBIENDO EL USO DE MEDIOS DE COMUNICACIÓN NO SÓLO PARA OBTENER CONTACTO SEXUAL SINO TAMBIÉN PARA SOLICITARLO, OFRECERLO O FACILITARLO.",http://www.secretariasenado.gov.co/senado/basedoc/ley_1329_2009.html,2009-07-17,SI,LEY 599 DE 2000,SI,,SI,NO,NO,NO,SI,SI,NO,NO,,Limita,Derechos de los niños,SI,SI,SI,SI,,,
Colombia,2009,1335,Ley ordinaria,EXPIDE REGULACIONES ANTITABAQUISMO. LOS ARTÍCULOS 14 Y 15 PROHÍBEN LA PUBLICIDAD DE PRODUCTOS CON TABACO.,http://www.secretariasenado.gov.co/senado/basedoc/ley_1335_2009.html,2009-07-21,NO,,SI,2017-01-29,NO,NO,SI,NO,NO,NO,NO,NO,,Limita,DESC,SI,SI,SI,SI,Salud,,
Colombia,2009,1336,Ley ordinaria,"MODIFICA LA LEY 679 DE 2001 Y DICTA NORMAS CONTRA LA EXPLOTACIÓN, PORNOGRAFÍA Y TURISMO SEXUAL DE MENORES. EL ARTÍCULO 3 ESTABLECE LA FACULTAD DE MINISTERIO DE LAS TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES DE REQUERIR A LOS PROVEEDORES DE SERVICIOS DE INTERNET PARA QUE INFORME QUÉ MECANISMO DE CONTROL ESTÁN UTILIZANDO PARA BLOQUEAR PÁGINAS CON CONTENIDO DE PORNOGRAFÍA INFANTIL Y PARA QUE INCLUYAN EN SUS CONTRATOS DE SERVICIOS CLÁUSULAS RELATIVAS A LA PROHIBICIÓN Y BLOQUEO DE PÁGINAS CON ESTOS CONTENIDOS.",http://www.secretariasenado.gov.co/senado/basedoc/ley_1336_2009.html,2009-07-21,SI,LEY 679 DE 2001,SI,,NO,NO,NO,NO,SI,SI,SI,SI,,Limita,Derechos de los niños,SI,SI,SI,SI,,,
Colombia,2009,1336,Ley ordinaria,"MODIFICA LA LEY 679 DE 2001 Y DICTA NORMAS CONTRA LA EXPLOTACIÓN, PORNOGRAFÍA Y TURISMO SEXUAL DE MENORES. EL ARTÍCULO 24 MODIFICA EL DELITO DE PORNOGRAFÍA CON MENORES DE 18 AÑOS, AÑADIENDO LOS VERBOS RECTORES DE GRABAR, PRODUCIR, DIVULGAR, OFRECER, VENDER, POSEER, PORTAR, ALMACENAR, TRANSMITIR Y EXHIBIR ESTA CLASE DE CONTENIDOS. ADEMÁS PROHÍBE LA ALIMENTACIÓN DE BASES DE DATOS DE INTERNET CON ESTE MATERIAL.",http://www.secretariasenado.gov.co/senado/basedoc/ley_1336_2009.html,2009-07-21,SI,LEY 679 DE 2001,SI,,SI,NO,NO,NO,SI,SI,NO,NO,,Limita,Derechos de los niños,SI,SI,SI,SI,,,
Colombia,2009,1346,Ley ordinaria,"APRUEBA LA CONVENCIÓN SOBRE LOS DERECHOS DE LAS PERSONAS CON DISCAPACIDAD. EL VIRTUD DEL ARTÍCULO 21, LOS ESTADOS PARTES DEBEN TOMAR LAS MEDIDAS PERTINENTES PARA QUE LAS PERSONAS CON DISCAPACIDAD PUEDAN EJERCER EL DERECHO A LA LIBERTAD DE EXPRESIÓN Y DE OPINIÓN Y ACCESO A LA INFORMACIÓN. EN VIRTUD DEL ARTÍCULO 30, LAS PARTES SE COMPROMETEN A ADOPTAR LAS MEDIDAS NECESARIAS PARA ASEGURAR A LAS PERSONAS CON DISCAPACIDAD LA PARTICIPACIÓN EN LA VIDA CULTURAL.",http://www.secretariasenado.gov.co/senado/basedoc/ley_1346_2009.html#Inicio,2009-07-31,NO,,SI,,NO,NO,NO,NO,NO,NO,NO,NO,,Promueve,DESC,,,,,Discapacidad,,
Colombia,2009,1356,Ley ordinaria,"EXPIDE LA LEY DE SEGURIDAD EN EVENTOS DEPORTIVOS. EL ARTÍCULO 3 ESTABLECE CONTRAVENCIONES ESPECIALES DE POLICÍA. EL ARTÍCULO 218H PROHIBE A DEPORTISTAS, PERIODISTAS, LOCUTORES, COMENTARISTAS, DIRIGENTES, PROTAGONISTAS, ORGANIZADORES, TÉCNICOS, ENTRENADORES, PREPARADORES FÍSICOS, COLABORADORES, DIRIGENTES, CONCESIONARIOS O MIEMBROS DE CLUBES QUE CON SUS EXPRESIONES, ADEMANES Y PROCEDERES OCASIONEN O INCITEN A ALTERACIONES DEL ORDEN PÚBLICO.",http://www.secretariasenado.gov.co/senado/basedoc/ley_1356_2009.html,2009-10-23,SI,DECRETO-LEY 1355 DE 1970,SI,,NO,NO,NO,NO,SI,NO,NO,NO,,Limita,Moral Pública,NO,SI,SI,NO,,,"LA LEY IMPONE MULTAS A LOS SUJETOS QUE ""CON SUS EXPRESIONES, ADEMANES O PROCEDERES"" INCITEN U OCASIONEN ALTERACIONES DEL ORDEN PÚBLICO. ESTAS EXPRESIONES SON MUY AMPLIAS Y DAN PIE A QUE SE CASTIGUEN EXPRESIONES LEGÍTIMAS."
Colombia,2009,1356,Ley ordinaria,EXPIDE LA LEY DE SEGURIDAD EN EVENTOS DEPORTIVOS. EL ARTÍCULO 3 ESTABLECE CONTRAVENCIONES ESPECIALES DE POLICÍA. EL ARTÍCULO 218K PROHÍBE INCITAR A OTROS A COMETER DELITOS O CONTRAVENCIONES DURANTE O DESPUÉS DE UN EVENTO DEPORTIVO.,http://www.secretariasenado.gov.co/senado/basedoc/ley_1356_2009.html,2009-10-23,SI,DECRETO-LEY 1355 DE 1970,SI,,NO,NO,NO,NO,SI,NO,NO,NO,,Limita,Moral Pública,SI,SI,SI,SI,,,
Ecuador,2009,Ley Reformatoria al Código Penal de 1971,Ley reformatoria,Art. innumerado octavo después del Art. 190: Delitos de odio.,No existe documento en línea en base de datos oficial,2009-03-24,SI,,NO,2014-02-10,SI,NO,SI,NO,SI,SI,NO,NO,NO,Limita,"Discriminación, violencia y discursos de odio",SI,SI,SI,SI,Igualdad y no discriminación,,
Ecuador,2009,"Ley Orgánica Electoral, Código de la Democracia",Ley orgánica,"Art. 207: Prohibición de difusión de cualquier tipo de información dispuesta por las instituciones públicas, aSI como la difusión de publicidad electoral, opiniones o imágenes, en todo tipo de medios de comunicación, que induzcan a los electores sobre una posición o preferencia electoral; la realización de mítines,",No existe documento en línea en base de datos oficial,2009-04-27,SI,,SI,2017-09-08,NO,NO,SI,NO,NO,SI,NO,SI,NO,Limita,Moral Pública,SI,SI,NO,NO,,,
Perú,2009,Ley No. 29430,,"Esta norma extendió el alcance de la ley 27942 al incluir los actos de hostigamiento sexual con prescindencia de jerarquía, cargo o función. Además precisó que el hostigamiento sexual incluye la expresión ""verbal reiterada de naturaleza sexual o sexista no deseada o rechazada"".",http://spij.minjus.gob.pe/CLP/contenidos.dll/CLPlegcargen/coleccion00000.htm/tomo00433.htm/a%C3%B1o295933.htm/mes314314.htm/dia314805.htm/sector314806.htm/sumilla314807.htm,2009-11-08,SI,,SI,,NO,NO,SI,NO,NO,NO,NO,NO,SI,Limita,"Discriminación, violencia y discursos de odio",SI,SI,SI,SI,Violencia de Género,,
Argentina,2008,26388,,Modificación Código Penal. Modificación artículo 128.,http://servicios.infoleg.gob.ar/infolegInternet/anexos/140000-144999/141790/norma.htm,2008-06-04,SI,,SI,,SI,NO,NO,NO,SI,NO,NO,NO,,Limita,Privacidad y Derechos ARCO,SI,SI,SI,SI,Datos personales,,
Brasil,2008,11.829/2008,Ley,"Altera a Lei nº 8.069/1990 (Estatudo da Criança e do Adolescente), alterando os artigos que tratam da pornografia infantil (arts. 240 e 241)",https://www.planalto.gov.br/ccivil_03/_ato2007-2010/2008/lei/l11829.htm,2008-11-25,SI,Lei nº 8.069/1990 (Estatudo da Criança e do Adolescente) e Lei nº 10.764/2003,SI,,SI,NO,SI,NO,SI,SI,NO,NO,,Limita,Derechos de los niños,SI,SI,SI,SI,,,
Chile,2008,Ley Nº°20.285,Moción parlamentaria,"Ley que regula el principio de transparencia de la función pública, el derecho de acceso a la información de los órganos de la Administración del Estado, los procedimientos para el ejercicio del derecho y para su amparo, y las excepciones a la publicidad de la información.",https://www.leychile.cl/Navegar?idNorma=276363&buscar=acceso+a+la+informacion,2008-08-28,SI,Nº 19.653 y Nº 18.575,SI,2010-01-05,,,,,,,,,SI,Promueve,Acceso a la información,SI,SI,SI,SI,,,
Colombia,2008,1193,Ley ordinaria,MODIFICA LA LEY 841 QUE REGLAMENTA EL EJERCICIO DE LA PROFESIÓN DE BACTERIOLOGÍA. EL ARTÍCULO 40 ESTABLECE LA RESERVA DEL PROCESO DISCIPLINARIO POR INFRACCIONES A LA BIOÉTICA Y DEONTOLOGÍA PROFESIONAL HASTA QUE SE DICTE AUTO INHIBITORIO O FALLO EJECUTORIADO.,http://www.secretariasenado.gov.co/senado/basedoc/ley_1193_2008.html,2008-05-09,SI,LEY 841 DE 2003,SI,,NO,NO,NO,NO,SI,NO,NO,NO,,Limita,Gobierno Digital,SI,SI,NO,NO,Administración de Justicia,,"SI BIEN SE ADMITEN LAS RESERVAS PARA CIERTAS ETAPAS DE LOS PROCESOS DISCIPLINARIOS, SIENDO ELLA NECESARIAS PARA ASEGURAR LA CORRECTA Y EFECTIVA ADMINISTRACIÓN DE JUSTICIA, ES DESPROPORCIONADO QUE SE MANTENGA LA RESERVA TOTAL DEL PROCESO HASTA SU FINALIZACIÓN."
